"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","7316","fullscreen","0","null","8321","pt1zhcln99t","quick","moral","goldfish","21","male","","","","","",""
"","1190","html-keyboard-response","1","2.0.0","9513","pt1zhcln99t","quick","moral","goldfish","21","male","","Welcome to the experiment. Press any key to begin.","d","","",""
"","2941","survey-text","2","2.0.0","12458","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""participant_id"":""goldfish""}","","",""
"","5570","html-keyboard-response","3","2.0.0","18030","pt1zhcln99t","quick","moral","goldfish","21","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","20441","html-button-response","4","2.0.0","38473","pt1zhcln99t","quick","moral","goldfish","21","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","19447","html-button-response","5","2.0.0","57923","pt1zhcln99t","quick","moral","goldfish","21","male",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","13989","survey-likert","6","2.0.0","71914","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""j_manipulation_check"":6,""n_manipulation_check"":1}","","[0,1]",""
"","26439","survey-likert","7","2.0.0","98355","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""n_standards_eval"":5,""j_standards_eval"":4}","","[1,0]","standards"
"","24656","survey-likert","8","2.0.0","123013","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""n_principles_eval"":4,""j_principles_eval"":5}","","[1,0]","principles"
"","59298","survey-likert","9","2.0.0","182313","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""j_deepness_eval"":2,""n_deepness_eval"":4}","","[0,1]","depth"
"","26704","survey-likert","10","2.0.0","209021","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","29763","survey-likert","11","2.0.0","238787","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":3,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","22934","survey-likert","12","2.0.0","261723","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","9033","html-button-response","13","2.0.0","270758","pt1zhcln99t","quick","moral","goldfish","21","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","4130","html-button-response","14","2.0.0","274890","pt1zhcln99t","quick","moral","goldfish","21","male","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","11527","survey-likert","15","2.0.0","286418","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","8652","survey-likert","16","2.0.0","295073","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","5818","survey-likert","17","2.0.0","300892","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","29314","survey-likert","18","2.0.0","330208","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""B_cert_far_from_alternative"":1,""B_cert_reservations_RS"":1,""B_cert_quite_certain"":4,""B_cert_conflicted_RS"":1}","","[3,1,2,0]","byst_certainty"
"","9933","survey-likert","19","2.0.0","340143","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""b_imp_calm_contained_RS"":5,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","3540","survey-text","20","2.0.0","343686","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""participant_age"":""21""}","","",""
"","6074","survey-text","21","2.0.0","349762","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""gender"":""male""}","","",""
"","43590","survey-likert","22","2.0.0","393355","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""ma_character_reflective"":5,""ma_some_actions_wrong"":5,""ma_outcomes_matter"":3,""ma_gut_feelings"":1,""ma_think_through"":6}","","[4,3,2,0,1]","moral_attitudes"
"","40946","survey-text","23","2.0.0","434303","pt1zhcln99t","quick","moral","goldfish","21","male","","","{""Q0"":""I believe this experiment was about how we may judge people's moral character depending on their intent and speed of judgement.""}","","",""
