"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1786","fullscreen","0","null","2791","p2956xcvuq2","quick","immoral","otter","21","female","","","","","",""
"","1308","html-keyboard-response","1","2.0.0","4099","p2956xcvuq2","quick","immoral","otter","21","female","","Welcome to the experiment. Press any key to begin.","n","","",""
"","1837","survey-text","2","2.0.0","5938","p2956xcvuq2","quick","immoral","otter","21","female","","","{""participant_id"":""otter""}","","",""
"","3248","html-keyboard-response","3","2.0.0","9187","p2956xcvuq2","quick","immoral","otter","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","m","","",""
"","20595","html-button-response","4","2.0.0","29783","p2956xcvuq2","quick","immoral","otter","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","11454","html-button-response","5","2.0.0","41238","p2956xcvuq2","quick","immoral","otter","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","11455","survey-likert","6","2.0.0","52694","p2956xcvuq2","quick","immoral","otter","21","female","","","{""n_manipulation_check"":6,""j_manipulation_check"":1}","","[1,0]",""
"","43976","survey-likert","7","2.0.0","96672","p2956xcvuq2","quick","immoral","otter","21","female","","","{""j_principles_eval"":1,""n_principles_eval"":2}","","[0,1]","principles"
"","16418","survey-likert","8","2.0.0","113090","p2956xcvuq2","quick","immoral","otter","21","female","","","{""j_standards_eval"":1,""n_standards_eval"":2}","","[0,1]","standards"
"","20935","survey-likert","9","2.0.0","134026","p2956xcvuq2","quick","immoral","otter","21","female","","","{""n_deepness_eval"":4,""j_deepness_eval"":2}","","[1,0]","depth"
"","19228","survey-likert","10","2.0.0","153256","p2956xcvuq2","quick","immoral","otter","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","13954","survey-likert","11","2.0.0","167212","p2956xcvuq2","quick","immoral","otter","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","13882","survey-likert","12","2.0.0","181094","p2956xcvuq2","quick","immoral","otter","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","5394","html-button-response","13","2.0.0","186489","p2956xcvuq2","quick","immoral","otter","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3749","html-button-response","14","2.0.0","190239","p2956xcvuq2","quick","immoral","otter","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","7572","survey-likert","15","2.0.0","197811","p2956xcvuq2","quick","immoral","otter","21","female","","","{""b_principles_eval"":6}","","[0]","byst_principles"
"","10842","survey-likert","16","2.0.0","208654","p2956xcvuq2","quick","immoral","otter","21","female","","","{""b_standards_eval"":6}","","[0]","byst_standards"
"","5544","survey-likert","17","2.0.0","214199","p2956xcvuq2","quick","immoral","otter","21","female","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","14755","survey-likert","18","2.0.0","228954","p2956xcvuq2","quick","immoral","otter","21","female","","","{""B_cert_quite_certain"":6,""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":0,""B_cert_reservations_RS"":0}","","[2,0,3,1]","byst_certainty"
"","5629","survey-likert","19","2.0.0","234584","p2956xcvuq2","quick","immoral","otter","21","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":6}","","[1,0]","byst_emotional_impulsivity"
"","2455","survey-text","20","2.0.0","237040","p2956xcvuq2","quick","immoral","otter","21","female","","","{""participant_age"":""21""}","","",""
"","3726","survey-text","21","2.0.0","240768","p2956xcvuq2","quick","immoral","otter","21","female","","","{""gender"":""female""}","","",""
"","37960","survey-likert","22","2.0.0","278729","p2956xcvuq2","quick","immoral","otter","21","female","","","{""ma_think_through"":6,""ma_outcomes_matter"":5,""ma_character_reflective"":4,""ma_gut_feelings"":4,""ma_some_actions_wrong"":2}","","[1,2,4,0,3]","moral_attitudes"
"","4984","survey-text","23","2.0.0","283714","p2956xcvuq2","quick","immoral","otter","21","female","","","{""Q0"":""n/a""}","","",""
