"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1085","fullscreen","0","null","2103","povnmw644ep","quick","immoral","squirrel","21","female","","","","","",""
"","579","html-keyboard-response","1","2.0.0","2684","povnmw644ep","quick","immoral","squirrel","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2733","survey-text","2","2.0.0","5424","povnmw644ep","quick","immoral","squirrel","21","female","","","{""participant_id"":""squirrel""}","","",""
"","2756","html-keyboard-response","3","2.0.0","8182","povnmw644ep","quick","immoral","squirrel","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","9799","html-button-response","4","2.0.0","17983","povnmw644ep","quick","immoral","squirrel","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","5244","html-button-response","5","2.0.0","23230","povnmw644ep","quick","immoral","squirrel","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","5403","survey-likert","6","2.0.0","28636","povnmw644ep","quick","immoral","squirrel","21","female","","","{""n_manipulation_check"":1,""j_manipulation_check"":5}","","[1,0]",""
"","19299","survey-likert","7","2.0.0","47937","povnmw644ep","quick","immoral","squirrel","21","female","","","{""j_principles_eval"":5,""n_principles_eval"":4}","","[0,1]","principles"
"","12270","survey-likert","8","2.0.0","60210","povnmw644ep","quick","immoral","squirrel","21","female","","","{""j_standards_eval"":5,""n_standards_eval"":5}","","[0,1]","standards"
"","16636","survey-likert","9","2.0.0","76848","povnmw644ep","quick","immoral","squirrel","21","female","","","{""j_deepness_eval"":5,""n_deepness_eval"":4}","","[0,1]","depth"
"","12824","survey-likert","10","2.0.0","89675","povnmw644ep","quick","immoral","squirrel","21","female","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","16109","survey-likert","11","2.0.0","105788","povnmw644ep","quick","immoral","squirrel","21","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":3,""j_cert_far_from_alternative"":1,""n_cert_far_from_alternative"":5}","","[0,1,2,3]","certainty"
"","10626","survey-likert","12","2.0.0","116417","povnmw644ep","quick","immoral","squirrel","21","female","","","{""j_imp_calm_contained_RS"":3,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":3,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","15604","html-button-response","13","2.0.0","132022","povnmw644ep","quick","immoral","squirrel","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3130","html-button-response","14","2.0.0","135155","povnmw644ep","quick","immoral","squirrel","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","10591","survey-likert","15","2.0.0","145747","povnmw644ep","quick","immoral","squirrel","21","female","","","{""b_principles_eval"":3}","","[0]","byst_principles"
"","5054","survey-likert","16","2.0.0","150802","povnmw644ep","quick","immoral","squirrel","21","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","6641","survey-likert","17","2.0.0","157445","povnmw644ep","quick","immoral","squirrel","21","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","8922","survey-likert","18","2.0.0","166368","povnmw644ep","quick","immoral","squirrel","21","female","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":3}","","[0,1]","byst_emotional_impulsivity"
"","12334","survey-likert","19","2.0.0","178705","povnmw644ep","quick","immoral","squirrel","21","female","","","{""B_cert_conflicted_RS"":4,""B_cert_quite_certain"":2,""B_cert_reservations_RS"":2,""B_cert_far_from_alternative"":3}","","[0,2,1,3]","byst_certainty"
"","2879","survey-text","20","2.0.0","181587","povnmw644ep","quick","immoral","squirrel","21","female","","","{""participant_age"":""21""}","","",""
"","4149","survey-text","21","2.0.0","185739","povnmw644ep","quick","immoral","squirrel","21","female","","","{""gender"":""female""}","","",""
"","17169","survey-likert","22","2.0.0","202911","povnmw644ep","quick","immoral","squirrel","21","female","","","{""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_gut_feelings"":5,""ma_think_through"":5,""ma_some_actions_wrong"":6}","","[4,2,0,1,3]","moral_attitudes"
"","22119","survey-text","23","2.0.0","225033","povnmw644ep","quick","immoral","squirrel","21","female","","","{""Q0"":""whether the time it takes to make moral decisions affect how \""moral\"" we perceive people to be""}","","",""
