"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1570","fullscreen","0","null","2578","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","","","",""
"","1273","html-keyboard-response","1","2.0.0","3853","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","Welcome to the experiment. Press any key to begin.","k","","",""
"","4267","survey-text","2","2.0.0","8124","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""participant_id"":""wallaby""}","","",""
"","33321","html-keyboard-response","3","2.0.0","41446","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","j","","",""
"","43726","html-button-response","4","2.0.0","85173","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","37715","html-button-response","5","2.0.0","122889","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","41317","survey-likert","6","2.0.0","164207","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","75732","survey-likert","7","2.0.0","239941","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""n_principles_eval"":2,""j_principles_eval"":0}","","[1,0]","principles"
"","51932","survey-likert","8","2.0.0","291867","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""j_standards_eval"":0,""n_standards_eval"":2}","","[0,1]","standards"
"","49515","survey-likert","9","2.0.0","341365","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""n_deepness_eval"":3,""j_deepness_eval"":0}","","[1,0]","depth"
"","53733","survey-likert","10","2.0.0","395099","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","152566","survey-likert","11","2.0.0","547663","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":0,""j_cert_far_from_alternative"":6,""n_cert_far_from_alternative"":1}","","[0,1,2,3]","certainty"
"","60033","survey-likert","12","2.0.0","607697","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":0,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":6}","","[0,1,2,3]","emotional_impulsivity"
"","23233","html-button-response","13","2.0.0","630930","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","103434","html-button-response","14","2.0.0","734362","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","18316","survey-likert","15","2.0.0","752680","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","7480","survey-likert","16","2.0.0","760161","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","31282","survey-likert","17","2.0.0","791445","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""b_deepness_eval"":6}","","[0]","byst_depth"
"","38633","survey-likert","18","2.0.0","830079","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":6}","","[1,0]","byst_emotional_impulsivity"
"","30398","survey-likert","19","2.0.0","860478","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""B_cert_reservations_RS"":6,""B_cert_far_from_alternative"":0,""B_cert_quite_certain"":0,""B_cert_conflicted_RS"":6}","","[1,3,2,0]","byst_certainty"
"","2799","survey-text","20","2.0.0","863280","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""participant_age"":""22""}","","",""
"","5796","survey-text","21","2.0.0","869078","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""gender"":""female""}","","",""
"","51482","survey-likert","22","2.0.0","920561","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""ma_character_reflective"":5,""ma_gut_feelings"":4,""ma_think_through"":6,""ma_some_actions_wrong"":5,""ma_outcomes_matter"":1}","","[4,0,1,3,2]","moral_attitudes"
"","62549","survey-text","23","2.0.0","983111","p2pjbvjx0eq","slow","immoral","wallaby","22","female","","","{""Q0"":""I think this experiment was about moral judgment""}","","",""
