"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1823","fullscreen","0","null","2830","p5ocq7t0cya","quick","moral","rabbit","21","female","","","","","",""
"","2775","html-keyboard-response","1","2.0.0","5607","p5ocq7t0cya","quick","moral","rabbit","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","5466","survey-text","2","2.0.0","11076","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""participant_id"":""rabbit""}","","",""
"","1567","html-keyboard-response","3","2.0.0","12644","p5ocq7t0cya","quick","moral","rabbit","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","16963","html-button-response","4","2.0.0","29609","p5ocq7t0cya","quick","moral","rabbit","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","8949","html-button-response","5","2.0.0","38560","p5ocq7t0cya","quick","moral","rabbit","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","8248","survey-likert","6","2.0.0","46811","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""j_manipulation_check"":4,""n_manipulation_check"":2}","","[0,1]",""
"","21114","survey-likert","7","2.0.0","67927","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""n_principles_eval"":3,""j_principles_eval"":2}","","[1,0]","principles"
"","10315","survey-likert","8","2.0.0","78244","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""n_standards_eval"":3,""j_standards_eval"":2}","","[1,0]","standards"
"","104135","survey-likert","9","2.0.0","182380","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""j_deepness_eval"":1,""n_deepness_eval"":5}","","[0,1]","depth"
"","71197","survey-likert","10","2.0.0","253580","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""j_cert_conflicted_RS"":2,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":5,""n_cert_reservations_RS"":1}","","[0,1,2,3]","certainty"
"","102354","survey-likert","11","2.0.0","355936","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""j_cert_quite_certain"":1,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":3,""n_cert_far_from_alternative"":3}","","[0,1,2,3]","certainty"
"","129696","survey-likert","12","2.0.0","485634","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""j_imp_calm_contained_RS"":3,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":4,""n_imp_upset_acted_without_thinking"":2}","","[0,1,2,3]","emotional_impulsivity"
"","7051","html-button-response","13","2.0.0","492687","p5ocq7t0cya","quick","moral","rabbit","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5846","html-button-response","14","2.0.0","498534","p5ocq7t0cya","quick","moral","rabbit","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","11183","survey-likert","15","2.0.0","509718","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","14949","survey-likert","16","2.0.0","524668","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","9149","survey-likert","17","2.0.0","533818","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","122618","survey-likert","18","2.0.0","656438","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""B_cert_far_from_alternative"":3,""B_cert_quite_certain"":4,""B_cert_conflicted_RS"":4,""B_cert_reservations_RS"":2}","","[3,2,0,1]","byst_certainty"
"","7097","survey-likert","19","2.0.0","663538","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""b_imp_calm_contained_RS"":4,""b_imp_upset_acted_without_thinking"":1}","","[0,1]","byst_emotional_impulsivity"
"","3715","survey-text","20","2.0.0","667255","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""participant_age"":""21""}","","",""
"","3414","survey-text","21","2.0.0","670670","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""gender"":""female""}","","",""
"","35349","survey-likert","22","2.0.0","706022","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""ma_some_actions_wrong"":4,""ma_character_reflective"":2,""ma_outcomes_matter"":1,""ma_think_through"":4,""ma_gut_feelings"":4}","","[3,4,2,1,0]","moral_attitudes"
"","27398","survey-text","23","2.0.0","733422","p5ocq7t0cya","quick","moral","rabbit","21","female","","","{""Q0"":""morality and choices people make ""}","","",""
