"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1523","fullscreen","0","null","2530","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","","","",""
"","1094","html-keyboard-response","1","2.0.0","3625","pgpqodcd9lu","quick","immoral","lion","22 ","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2285","survey-text","2","2.0.0","5914","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""participant_id"":""lion""}","","",""
"","1726","html-keyboard-response","3","2.0.0","7641","pgpqodcd9lu","quick","immoral","lion","22 ","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","5521","html-button-response","4","2.0.0","13164","pgpqodcd9lu","quick","immoral","lion","22 ","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","5617","html-button-response","5","2.0.0","18782","pgpqodcd9lu","quick","immoral","lion","22 ","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","4949","survey-likert","6","2.0.0","23733","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","21019","survey-likert","7","2.0.0","44753","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""n_standards_eval"":3,""j_standards_eval"":0}","","[1,0]","standards"
"","15553","survey-likert","8","2.0.0","60307","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""n_principles_eval"":4,""j_principles_eval"":0}","","[1,0]","principles"
"","12200","survey-likert","9","2.0.0","72509","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""n_deepness_eval"":1,""j_deepness_eval"":5}","","[1,0]","depth"
"","16703","survey-likert","10","2.0.0","89213","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":6}","","[0,1,2,3]","certainty"
"","16118","survey-likert","11","2.0.0","105332","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":0,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":6}","","[0,1,2,3]","certainty"
"","12567","survey-likert","12","2.0.0","117901","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""j_imp_calm_contained_RS"":3,""n_imp_calm_contained_RS"":6,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","3332","html-button-response","13","2.0.0","121234","pgpqodcd9lu","quick","immoral","lion","22 ","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","2782","html-button-response","14","2.0.0","124017","pgpqodcd9lu","quick","immoral","lion","22 ","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","3601","survey-likert","15","2.0.0","127619","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""b_standards_eval"":6}","","[0]","byst_standards"
"","3482","survey-likert","16","2.0.0","131102","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""b_principles_eval"":6}","","[0]","byst_principles"
"","4517","survey-likert","17","2.0.0","135621","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""b_deepness_eval"":0}","","[0]","byst_depth"
"","5333","survey-likert","18","2.0.0","140955","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""b_imp_calm_contained_RS"":6,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","10933","survey-likert","19","2.0.0","151889","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""B_cert_conflicted_RS"":0,""B_cert_reservations_RS"":0,""B_cert_quite_certain"":6,""B_cert_far_from_alternative"":2}","","[0,1,2,3]","byst_certainty"
"","3384","survey-text","20","2.0.0","155275","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""participant_age"":""22 ""}","","",""
"","2602","survey-text","21","2.0.0","157878","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""gender"":""female""}","","",""
"","16864","survey-likert","22","2.0.0","174744","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""ma_character_reflective"":5,""ma_think_through"":6,""ma_gut_feelings"":5,""ma_some_actions_wrong"":3,""ma_outcomes_matter"":5}","","[4,1,0,3,2]","moral_attitudes"
"","3333","survey-text","23","2.0.0","178078","pgpqodcd9lu","quick","immoral","lion","22 ","female","","","{""Q0"":""no idea""}","","",""
