"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","14036","fullscreen","0","null","15049","prpxw9ysxc8","quick","moral","hamster","21","female","","","","","",""
"","612","html-keyboard-response","1","2.0.0","15665","prpxw9ysxc8","quick","moral","hamster","21","female","","Welcome to the experiment. Press any key to begin.","Enter","","",""
"","3289","survey-text","2","2.0.0","18960","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""participant_id"":""hamster""}","","",""
"","4382","html-keyboard-response","3","2.0.0","23344","prpxw9ysxc8","quick","moral","hamster","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","Enter","","",""
"","15536","html-button-response","4","2.0.0","38882","prpxw9ysxc8","quick","moral","hamster","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","13128","html-button-response","5","2.0.0","52013","prpxw9ysxc8","quick","moral","hamster","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","7050","survey-likert","6","2.0.0","59066","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":2}","","[0,1]",""
"","10069","survey-likert","7","2.0.0","69139","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""n_standards_eval"":4,""j_standards_eval"":6}","","[1,0]","standards"
"","12556","survey-likert","8","2.0.0","81698","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""n_principles_eval"":4,""j_principles_eval"":6}","","[1,0]","principles"
"","9931","survey-likert","9","2.0.0","91632","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""n_deepness_eval"":3,""j_deepness_eval"":6}","","[1,0]","depth"
"","12093","survey-likert","10","2.0.0","103730","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","23594","survey-likert","11","2.0.0","127328","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":6,""n_cert_far_from_alternative"":3}","","[0,1,2,3]","certainty"
"","11309","survey-likert","12","2.0.0","138640","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","5441","html-button-response","13","2.0.0","144083","prpxw9ysxc8","quick","moral","hamster","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3936","html-button-response","14","2.0.0","148022","prpxw9ysxc8","quick","moral","hamster","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","8020","survey-likert","15","2.0.0","156045","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""b_standards_eval"":2}","","[0]","byst_standards"
"","5782","survey-likert","16","2.0.0","161830","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""b_principles_eval"":2}","","[0]","byst_principles"
"","4133","survey-likert","17","2.0.0","165967","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","6086","survey-likert","18","2.0.0","172058","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":3}","","[0,1]","byst_emotional_impulsivity"
"","13819","survey-likert","19","2.0.0","185880","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""B_cert_quite_certain"":4,""B_cert_conflicted_RS"":3,""B_cert_reservations_RS"":3,""B_cert_far_from_alternative"":3}","","[2,0,1,3]","byst_certainty"
"","3136","survey-text","20","2.0.0","189020","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""participant_age"":""21""}","","",""
"","3799","survey-text","21","2.0.0","192824","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""gender"":""female""}","","",""
"","25383","survey-likert","22","2.0.0","218213","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""ma_some_actions_wrong"":5,""ma_think_through"":6,""ma_outcomes_matter"":4,""ma_gut_feelings"":2,""ma_character_reflective"":5}","","[3,1,2,0,4]","moral_attitudes"
"","11966","survey-text","23","2.0.0","230184","prpxw9ysxc8","quick","moral","hamster","21","female","","","{""Q0"":""Regarding logic vs emotional reasoning""}","","",""
