"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1758","fullscreen","0","null","2766","petvnr55ggz","slow","moral","meerkat","21","female","","","","","",""
"","834","html-keyboard-response","1","2.0.0","3602","petvnr55ggz","slow","moral","meerkat","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2695","survey-text","2","2.0.0","6298","petvnr55ggz","slow","moral","meerkat","21","female","","","{""participant_id"":""meerkat""}","","",""
"","2199","html-keyboard-response","3","2.0.0","8498","petvnr55ggz","slow","moral","meerkat","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","9579","html-button-response","4","2.0.0","18078","petvnr55ggz","slow","moral","meerkat","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","6716","html-button-response","5","2.0.0","24796","petvnr55ggz","slow","moral","meerkat","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","8714","survey-likert","6","2.0.0","33513","petvnr55ggz","slow","moral","meerkat","21","female","","","{""j_manipulation_check"":1,""n_manipulation_check"":6}","","[0,1]",""
"","22379","survey-likert","7","2.0.0","55897","petvnr55ggz","slow","moral","meerkat","21","female","","","{""j_principles_eval"":5,""n_principles_eval"":2}","","[0,1]","principles"
"","8030","survey-likert","8","2.0.0","63930","petvnr55ggz","slow","moral","meerkat","21","female","","","{""j_standards_eval"":6,""n_standards_eval"":2}","","[0,1]","standards"
"","72314","survey-likert","9","2.0.0","136247","petvnr55ggz","slow","moral","meerkat","21","female","","","{""n_deepness_eval"":2,""j_deepness_eval"":5}","","[1,0]","depth"
"","14213","survey-likert","10","2.0.0","150464","petvnr55ggz","slow","moral","meerkat","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":3}","","[0,1,2,3]","certainty"
"","22930","survey-likert","11","2.0.0","173397","petvnr55ggz","slow","moral","meerkat","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","34281","survey-likert","12","2.0.0","207681","petvnr55ggz","slow","moral","meerkat","21","female","","","{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","4095","html-button-response","13","2.0.0","211779","petvnr55ggz","slow","moral","meerkat","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3700","html-button-response","14","2.0.0","215481","petvnr55ggz","slow","moral","meerkat","21","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","5414","survey-likert","15","2.0.0","220897","petvnr55ggz","slow","moral","meerkat","21","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","4648","survey-likert","16","2.0.0","225548","petvnr55ggz","slow","moral","meerkat","21","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","13462","survey-likert","17","2.0.0","239012","petvnr55ggz","slow","moral","meerkat","21","female","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","14383","survey-likert","18","2.0.0","253397","petvnr55ggz","slow","moral","meerkat","21","female","","","{""B_cert_reservations_RS"":2,""B_cert_far_from_alternative"":2,""B_cert_conflicted_RS"":4,""B_cert_quite_certain"":3}","","[1,3,0,2]","byst_certainty"
"","6032","survey-likert","19","2.0.0","259432","petvnr55ggz","slow","moral","meerkat","21","female","","","{""b_imp_upset_acted_without_thinking"":1,""b_imp_calm_contained_RS"":3}","","[1,0]","byst_emotional_impulsivity"
"","2429","survey-text","20","2.0.0","261866","petvnr55ggz","slow","moral","meerkat","21","female","","","{""participant_age"":""21""}","","",""
"","2731","survey-text","21","2.0.0","264599","petvnr55ggz","slow","moral","meerkat","21","female","","","{""gender"":""female""}","","",""
"","34615","survey-likert","22","2.0.0","299216","petvnr55ggz","slow","moral","meerkat","21","female","","","{""ma_think_through"":5,""ma_character_reflective"":6,""ma_gut_feelings"":2,""ma_some_actions_wrong"":2,""ma_outcomes_matter"":2}","","[1,4,0,3,2]","moral_attitudes"
"","19913","survey-text","23","2.0.0","319133","petvnr55ggz","slow","moral","meerkat","21","female","","","{""Q0"":""juding morality based on speed of making \""moral\"" decisions. no technical difficulties""}","","",""
