"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1075","fullscreen","0","null","2081","pjmqhrunboy","slow","immoral","lemur","23","female","","","","","",""
"","824","html-keyboard-response","1","2.0.0","2906","pjmqhrunboy","slow","immoral","lemur","23","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1116","survey-text","2","2.0.0","4025","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""participant_id"":""lemur""}","","",""
"","28376","html-keyboard-response","3","2.0.0","32403","pjmqhrunboy","slow","immoral","lemur","23","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","56526","html-button-response","4","2.0.0","88935","pjmqhrunboy","slow","immoral","lemur","23","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","18533","html-button-response","5","2.0.0","107469","pjmqhrunboy","slow","immoral","lemur","23","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","5937","survey-likert","6","2.0.0","113408","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""n_manipulation_check"":0,""j_manipulation_check"":6}","","[1,0]",""
"","18376","survey-likert","7","2.0.0","131785","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""j_standards_eval"":1,""n_standards_eval"":4}","","[0,1]","standards"
"","17634","survey-likert","8","2.0.0","149421","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""n_principles_eval"":4,""j_principles_eval"":2}","","[1,0]","principles"
"","71553","survey-likert","9","2.0.0","220976","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""j_deepness_eval"":1,""n_deepness_eval"":4}","","[0,1]","depth"
"","14532","survey-likert","10","2.0.0","235510","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","59535","survey-likert","11","2.0.0","295047","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""j_cert_quite_certain"":4,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":1,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","18455","survey-likert","12","2.0.0","313504","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":3,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","6637","html-button-response","13","2.0.0","320142","pjmqhrunboy","slow","immoral","lemur","23","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","8114","html-button-response","14","2.0.0","328256","pjmqhrunboy","slow","immoral","lemur","23","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","5419","survey-likert","15","2.0.0","333676","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","4478","survey-likert","16","2.0.0","338155","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","4990","survey-likert","17","2.0.0","343145","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""b_deepness_eval"":6}","","[0]","byst_depth"
"","10713","survey-likert","18","2.0.0","353859","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""b_imp_upset_acted_without_thinking"":1,""b_imp_calm_contained_RS"":2}","","[1,0]","byst_emotional_impulsivity"
"","69563","survey-likert","19","2.0.0","423423","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""B_cert_reservations_RS"":5,""B_cert_far_from_alternative"":4,""B_cert_conflicted_RS"":6,""B_cert_quite_certain"":4}","","[1,3,0,2]","byst_certainty"
"","2246","survey-text","20","2.0.0","425672","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""participant_age"":""23""}","","",""
"","3033","survey-text","21","2.0.0","428708","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""gender"":""female""}","","",""
"","44990","survey-likert","22","2.0.0","473700","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""ma_think_through"":6,""ma_some_actions_wrong"":4,""ma_outcomes_matter"":2,""ma_gut_feelings"":2,""ma_character_reflective"":5}","","[1,3,2,0,4]","moral_attitudes"
"","12265","survey-text","23","2.0.0","485967","pjmqhrunboy","slow","immoral","lemur","23","female","","","{""Q0"":""moral decisions; no technical difficulties""}","","",""
