"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","736","fullscreen","0","null","1753","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","","","",""
"","1794","html-keyboard-response","1","2.0.0","3549","pr9t2bhpz77","slow","immoral","tortoise","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1701","survey-text","2","2.0.0","5256","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""participant_id"":""tortoise""}","","",""
"","720","html-keyboard-response","3","2.0.0","5978","pr9t2bhpz77","slow","immoral","tortoise","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","2149","html-button-response","4","2.0.0","8130","pr9t2bhpz77","slow","immoral","tortoise","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","23972","html-button-response","5","2.0.0","32104","pr9t2bhpz77","slow","immoral","tortoise","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","5283","survey-likert","6","2.0.0","37390","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","35563","survey-likert","7","2.0.0","72959","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""j_standards_eval"":2,""n_standards_eval"":5}","","[0,1]","standards"
"","25427","survey-likert","8","2.0.0","98393","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""j_principles_eval"":1,""n_principles_eval"":5}","","[0,1]","principles"
"","24183","survey-likert","9","2.0.0","122579","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""n_deepness_eval"":2,""j_deepness_eval"":6}","","[1,0]","depth"
"","19363","survey-likert","10","2.0.0","141947","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":6}","","[0,1,2,3]","certainty"
"","23679","survey-likert","11","2.0.0","165628","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""j_cert_quite_certain"":1,""n_cert_quite_certain"":6,""j_cert_far_from_alternative"":1,""n_cert_far_from_alternative"":6}","","[0,1,2,3]","certainty"
"","25288","survey-likert","12","2.0.0","190918","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":5,""n_imp_upset_acted_without_thinking"":1}","","[0,1,2,3]","emotional_impulsivity"
"","25266","html-button-response","13","2.0.0","216188","pr9t2bhpz77","slow","immoral","tortoise","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","8283","html-button-response","14","2.0.0","224473","pr9t2bhpz77","slow","immoral","tortoise","21","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","10390","survey-likert","15","2.0.0","234867","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","5440","survey-likert","16","2.0.0","240310","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","4808","survey-likert","17","2.0.0","245122","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","9706","survey-likert","18","2.0.0","254832","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":1}","","[0,1]","byst_emotional_impulsivity"
"","25153","survey-likert","19","2.0.0","279988","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""B_cert_conflicted_RS"":6,""B_cert_far_from_alternative"":6,""B_cert_reservations_RS"":6,""B_cert_quite_certain"":1}","","[0,3,1,2]","byst_certainty"
"","3406","survey-text","20","2.0.0","283396","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""participant_age"":""21""}","","",""
"","3613","survey-text","21","2.0.0","287012","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""gender"":""female""}","","",""
"","37206","survey-likert","22","2.0.0","324224","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""ma_think_through"":6,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_character_reflective"":3,""ma_gut_feelings"":6}","","[1,2,3,4,0]","moral_attitudes"
"","20491","survey-text","23","2.0.0","344721","pr9t2bhpz77","slow","immoral","tortoise","21","female","","","{""Q0"":""maybe on how we assign moral judgment to people based on their actions""}","","",""
