"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","3314","fullscreen","0","null","4323","ppo6hep3kw2","quick","immoral","panda","21","female","","","","","",""
"","3882","html-keyboard-response","1","2.0.0","8206","ppo6hep3kw2","quick","immoral","panda","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2639","survey-text","2","2.0.0","10849","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""participant_id"":""panda""}","","",""
"","11075","html-keyboard-response","3","2.0.0","21925","ppo6hep3kw2","quick","immoral","panda","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","12035","html-button-response","4","2.0.0","33962","ppo6hep3kw2","quick","immoral","panda","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","9431","html-button-response","5","2.0.0","43395","ppo6hep3kw2","quick","immoral","panda","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","8782","survey-likert","6","2.0.0","52180","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":1}","","[0,1]",""
"","20616","survey-likert","7","2.0.0","72798","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""n_principles_eval"":2,""j_principles_eval"":0}","","[1,0]","principles"
"","17362","survey-likert","8","2.0.0","90162","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""j_standards_eval"":3,""n_standards_eval"":4}","","[0,1]","standards"
"","35013","survey-likert","9","2.0.0","125177","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""j_deepness_eval"":1,""n_deepness_eval"":3}","","[0,1]","depth"
"","12298","survey-likert","10","2.0.0","137478","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","31063","survey-likert","11","2.0.0","168543","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","24898","survey-likert","12","2.0.0","193444","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":2}","","[0,1,2,3]","emotional_impulsivity"
"","4581","html-button-response","13","2.0.0","198027","ppo6hep3kw2","quick","immoral","panda","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5014","html-button-response","14","2.0.0","203043","ppo6hep3kw2","quick","immoral","panda","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","7731","survey-likert","15","2.0.0","210776","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","11897","survey-likert","16","2.0.0","222676","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","4498","survey-likert","17","2.0.0","227176","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","5366","survey-likert","18","2.0.0","232544","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":6}","","[1,0]","byst_emotional_impulsivity"
"","14631","survey-likert","19","2.0.0","247177","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""B_cert_quite_certain"":6,""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":0,""B_cert_reservations_RS"":1}","","[2,0,3,1]","byst_certainty"
"","2532","survey-text","20","2.0.0","249712","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""participant_age"":""21""}","","",""
"","3079","survey-text","21","2.0.0","252794","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""gender"":""female""}","","",""
"","15763","survey-likert","22","2.0.0","268560","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""ma_think_through"":6,""ma_character_reflective"":6,""ma_gut_feelings"":5,""ma_some_actions_wrong"":5,""ma_outcomes_matter"":2}","","[1,4,0,3,2]","moral_attitudes"
"","29566","survey-text","23","2.0.0","298128","ppo6hep3kw2","quick","immoral","panda","21","female","","","{""Q0"":""I think this experiment was about seeing how we view peoples morals. No technical difficulties.""}","","",""
