"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","5530","fullscreen","0","null","6536","pj8q0htja83","quick","immoral","koala","21","male","","","","","",""
"","1143","html-keyboard-response","1","2.0.0","7681","pj8q0htja83","quick","immoral","koala","21","male","","Welcome to the experiment. Press any key to begin."," ","","",""
"","5123","survey-text","2","2.0.0","12808","pj8q0htja83","quick","immoral","koala","21","male","","","{""participant_id"":""koala""}","","",""
"","3098","html-keyboard-response","3","2.0.0","15907","pj8q0htja83","quick","immoral","koala","21","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","20491","html-button-response","4","2.0.0","36400","pj8q0htja83","quick","immoral","koala","21","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","17252","html-button-response","5","2.0.0","53654","pj8q0htja83","quick","immoral","koala","21","male","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","7495","survey-likert","6","2.0.0","61150","pj8q0htja83","quick","immoral","koala","21","male","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","27281","survey-likert","7","2.0.0","88434","pj8q0htja83","quick","immoral","koala","21","male","","","{""j_principles_eval"":0,""n_principles_eval"":0}","","[0,1]","principles"
"","10777","survey-likert","8","2.0.0","99212","pj8q0htja83","quick","immoral","koala","21","male","","","{""n_standards_eval"":0,""j_standards_eval"":0}","","[1,0]","standards"
"","11475","survey-likert","9","2.0.0","110688","pj8q0htja83","quick","immoral","koala","21","male","","","{""j_deepness_eval"":0,""n_deepness_eval"":0}","","[0,1]","depth"
"","13782","survey-likert","10","2.0.0","124473","pj8q0htja83","quick","immoral","koala","21","male","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","19803","survey-likert","11","2.0.0","144278","pj8q0htja83","quick","immoral","koala","21","male","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":3,""n_cert_far_from_alternative"":3}","","[0,1,2,3]","certainty"
"","14679","survey-likert","12","2.0.0","158958","pj8q0htja83","quick","immoral","koala","21","male","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":1,""j_imp_upset_acted_without_thinking"":3,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","6380","html-button-response","13","2.0.0","165339","pj8q0htja83","quick","immoral","koala","21","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3303","html-button-response","14","2.0.0","168643","pj8q0htja83","quick","immoral","koala","21","male","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","4275","survey-likert","15","2.0.0","172919","pj8q0htja83","quick","immoral","koala","21","male","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","1794","survey-likert","16","2.0.0","174714","pj8q0htja83","quick","immoral","koala","21","male","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","1951","survey-likert","17","2.0.0","176667","pj8q0htja83","quick","immoral","koala","21","male","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","10409","survey-likert","18","2.0.0","187078","pj8q0htja83","quick","immoral","koala","21","male","","","{""B_cert_far_from_alternative"":0,""B_cert_quite_certain"":0,""B_cert_conflicted_RS"":0,""B_cert_reservations_RS"":0}","","[3,2,0,1]","byst_certainty"
"","6256","survey-likert","19","2.0.0","193335","pj8q0htja83","quick","immoral","koala","21","male","","","{""b_imp_calm_contained_RS"":6,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","1702","survey-text","20","2.0.0","195040","pj8q0htja83","quick","immoral","koala","21","male","","","{""participant_age"":""21""}","","",""
"","1823","survey-text","21","2.0.0","196866","pj8q0htja83","quick","immoral","koala","21","male","","","{""gender"":""male""}","","",""
"","18878","survey-likert","22","2.0.0","215746","pj8q0htja83","quick","immoral","koala","21","male","","","{""ma_gut_feelings"":5,""ma_think_through"":5,""ma_character_reflective"":6,""ma_outcomes_matter"":6,""ma_some_actions_wrong"":3}","","[0,1,4,2,3]","moral_attitudes"
"","1818","survey-text","23","2.0.0","217565","pj8q0htja83","quick","immoral","koala","21","male","","","{""Q0"":""""}","","",""
