"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1640","fullscreen","0","null","2643","p9cept8dst3","slow","moral","bear","20","female","","","","","",""
"","1366","html-keyboard-response","1","2.0.0","4009","p9cept8dst3","slow","moral","bear","20","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1636","survey-text","2","2.0.0","5649","p9cept8dst3","slow","moral","bear","20","female","","","{""participant_id"":""bear""}","","",""
"","2973","html-keyboard-response","3","2.0.0","8622","p9cept8dst3","slow","moral","bear","20","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","44639","html-button-response","4","2.0.0","53260","p9cept8dst3","slow","moral","bear","20","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","14263","html-button-response","5","2.0.0","67524","p9cept8dst3","slow","moral","bear","20","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","10683","survey-likert","6","2.0.0","78209","p9cept8dst3","slow","moral","bear","20","female","","","{""j_manipulation_check"":5,""n_manipulation_check"":2}","","[0,1]",""
"","14543","survey-likert","7","2.0.0","92753","p9cept8dst3","slow","moral","bear","20","female","","","{""j_standards_eval"":4,""n_standards_eval"":4}","","[0,1]","standards"
"","17784","survey-likert","8","2.0.0","110538","p9cept8dst3","slow","moral","bear","20","female","","","{""n_principles_eval"":4,""j_principles_eval"":4}","","[1,0]","principles"
"","6105","survey-likert","9","2.0.0","116645","p9cept8dst3","slow","moral","bear","20","female","","","{""n_deepness_eval"":4,""j_deepness_eval"":4}","","[1,0]","depth"
"","24286","survey-likert","10","2.0.0","140932","p9cept8dst3","slow","moral","bear","20","female","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":3,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":3}","","[0,1,2,3]","certainty"
"","91874","survey-likert","11","2.0.0","232803","p9cept8dst3","slow","moral","bear","20","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","18533","survey-likert","12","2.0.0","251337","p9cept8dst3","slow","moral","bear","20","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":1}","","[0,1,2,3]","emotional_impulsivity"
"","3964","html-button-response","13","2.0.0","255303","p9cept8dst3","slow","moral","bear","20","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","6882","html-button-response","14","2.0.0","262185","p9cept8dst3","slow","moral","bear","20","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","4918","survey-likert","15","2.0.0","267104","p9cept8dst3","slow","moral","bear","20","female","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","3135","survey-likert","16","2.0.0","270240","p9cept8dst3","slow","moral","bear","20","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","35773","survey-likert","17","2.0.0","306013","p9cept8dst3","slow","moral","bear","20","female","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","16761","survey-likert","18","2.0.0","322776","p9cept8dst3","slow","moral","bear","20","female","","","{""B_cert_quite_certain"":2,""B_cert_far_from_alternative"":4,""B_cert_conflicted_RS"":2,""B_cert_reservations_RS"":4}","","[2,3,0,1]","byst_certainty"
"","4685","survey-likert","19","2.0.0","327462","p9cept8dst3","slow","moral","bear","20","female","","","{""b_imp_calm_contained_RS"":4,""b_imp_upset_acted_without_thinking"":4}","","[0,1]","byst_emotional_impulsivity"
"","3605","survey-text","20","2.0.0","331070","p9cept8dst3","slow","moral","bear","20","female","","","{""participant_age"":""20""}","","",""
"","3654","survey-text","21","2.0.0","334727","p9cept8dst3","slow","moral","bear","20","female","","","{""gender"":""female""}","","",""
"","31755","survey-likert","22","2.0.0","366483","p9cept8dst3","slow","moral","bear","20","female","","","{""ma_some_actions_wrong"":1,""ma_think_through"":5,""ma_outcomes_matter"":5,""ma_character_reflective"":5,""ma_gut_feelings"":5}","","[3,1,2,4,0]","moral_attitudes"
"","11903","survey-text","23","2.0.0","378316","p9cept8dst3","slow","moral","bear","20","female","","","{""Q0"":""human morale; no""}","","",""
