"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1307","fullscreen","0","null","2323","peauoj1dxyj","quick","immoral","camel","22","Male","","","","","",""
"","838","html-keyboard-response","1","2.0.0","3164","peauoj1dxyj","quick","immoral","camel","22","Male","","Welcome to the experiment. Press any key to begin.","n","","",""
"","3400","survey-text","2","2.0.0","6575","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""participant_id"":""camel""}","","",""
"","2460","html-keyboard-response","3","2.0.0","9038","peauoj1dxyj","quick","immoral","camel","22","Male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","4947","html-button-response","4","2.0.0","13993","peauoj1dxyj","quick","immoral","camel","22","Male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","8449","html-button-response","5","2.0.0","22459","peauoj1dxyj","quick","immoral","camel","22","Male","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","8611","survey-likert","6","2.0.0","31082","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""n_manipulation_check"":6,""j_manipulation_check"":3}","","[1,0]",""
"","14559","survey-likert","7","2.0.0","45652","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""j_standards_eval"":5,""n_standards_eval"":2}","","[0,1]","standards"
"","9507","survey-likert","8","2.0.0","55170","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""j_principles_eval"":5,""n_principles_eval"":2}","","[0,1]","principles"
"","15454","survey-likert","9","2.0.0","70633","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""j_deepness_eval"":5,""n_deepness_eval"":1}","","[0,1]","depth"
"","14248","survey-likert","10","2.0.0","84891","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","14750","survey-likert","11","2.0.0","99650","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","20584","survey-likert","12","2.0.0","120243","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":5,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","10506","html-button-response","13","2.0.0","130757","peauoj1dxyj","quick","immoral","camel","22","Male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","7140","html-button-response","14","2.0.0","137905","peauoj1dxyj","quick","immoral","camel","22","Male","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","6595","survey-likert","15","2.0.0","144509","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","3254","survey-likert","16","2.0.0","147773","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","3231","survey-likert","17","2.0.0","151014","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","6263","survey-likert","18","2.0.0","157288","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""b_imp_calm_contained_RS"":4,""b_imp_upset_acted_without_thinking"":1}","","[0,1]","byst_emotional_impulsivity"
"","10728","survey-likert","19","2.0.0","168025","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""B_cert_conflicted_RS"":1,""B_cert_reservations_RS"":3,""B_cert_far_from_alternative"":0,""B_cert_quite_certain"":6}","","[0,1,3,2]","byst_certainty"
"","1482","survey-text","20","2.0.0","169516","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""participant_age"":""22""}","","",""
"","2228","survey-text","21","2.0.0","171752","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""gender"":""Male""}","","",""
"","20301","survey-likert","22","2.0.0","192061","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""ma_gut_feelings"":1,""ma_some_actions_wrong"":5,""ma_character_reflective"":5,""ma_think_through"":5,""ma_outcomes_matter"":1}","","[0,3,4,1,2]","moral_attitudes"
"","15835","survey-text","23","2.0.0","207904","peauoj1dxyj","quick","immoral","camel","22","Male","","","{""Q0"":""This experiment was about moral character and fast-paced decision making""}","","",""
