"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","3531","fullscreen","0","null","4537","p4732xl89nm","quick","immoral","goose","22","male","","","","","",""
"","2849","html-keyboard-response","1","2.0.0","7389","p4732xl89nm","quick","immoral","goose","22","male","","Welcome to the experiment. Press any key to begin.","Enter","","",""
"","3672","survey-text","2","2.0.0","11069","p4732xl89nm","quick","immoral","goose","22","male","","","{""participant_id"":""goose""}","","",""
"","8599","html-keyboard-response","3","2.0.0","19670","p4732xl89nm","quick","immoral","goose","22","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","Enter","","",""
"","11746","html-button-response","4","2.0.0","31419","p4732xl89nm","quick","immoral","goose","22","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","8997","html-button-response","5","2.0.0","40418","p4732xl89nm","quick","immoral","goose","22","male",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","10814","survey-likert","6","2.0.0","51235","p4732xl89nm","quick","immoral","goose","22","male","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","29147","survey-likert","7","2.0.0","80387","p4732xl89nm","quick","immoral","goose","22","male","","","{""n_principles_eval"":2,""j_principles_eval"":1}","","[1,0]","principles"
"","18079","survey-likert","8","2.0.0","98470","p4732xl89nm","quick","immoral","goose","22","male","","","{""j_standards_eval"":1,""n_standards_eval"":5}","","[0,1]","standards"
"","15044","survey-likert","9","2.0.0","113519","p4732xl89nm","quick","immoral","goose","22","male","","","{""j_deepness_eval"":0,""n_deepness_eval"":4}","","[0,1]","depth"
"","21630","survey-likert","10","2.0.0","135155","p4732xl89nm","quick","immoral","goose","22","male","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","29493","survey-likert","11","2.0.0","164653","p4732xl89nm","quick","immoral","goose","22","male","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":6,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","14029","survey-likert","12","2.0.0","178686","p4732xl89nm","quick","immoral","goose","22","male","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","11964","html-button-response","13","2.0.0","190652","p4732xl89nm","quick","immoral","goose","22","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","8232","html-button-response","14","2.0.0","198886","p4732xl89nm","quick","immoral","goose","22","male","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","12647","survey-likert","15","2.0.0","211538","p4732xl89nm","quick","immoral","goose","22","male","","","{""b_principles_eval"":6}","","[0]","byst_principles"
"","4394","survey-likert","16","2.0.0","215936","p4732xl89nm","quick","immoral","goose","22","male","","","{""b_standards_eval"":6}","","[0]","byst_standards"
"","8614","survey-likert","17","2.0.0","224555","p4732xl89nm","quick","immoral","goose","22","male","","","{""b_deepness_eval"":6}","","[0]","byst_depth"
"","19344","survey-likert","18","2.0.0","243904","p4732xl89nm","quick","immoral","goose","22","male","","","{""B_cert_quite_certain"":6,""B_cert_reservations_RS"":0,""B_cert_far_from_alternative"":6,""B_cert_conflicted_RS"":0}","","[2,1,3,0]","byst_certainty"
"","6529","survey-likert","19","2.0.0","250437","p4732xl89nm","quick","immoral","goose","22","male","","","{""b_imp_calm_contained_RS"":6,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","3092","survey-text","20","2.0.0","253535","p4732xl89nm","quick","immoral","goose","22","male","","","{""participant_age"":""22""}","","",""
"","1886","survey-text","21","2.0.0","255423","p4732xl89nm","quick","immoral","goose","22","male","","","{""gender"":""male""}","","",""
"","53244","survey-likert","22","2.0.0","308673","p4732xl89nm","quick","immoral","goose","22","male","","","{""ma_think_through"":3,""ma_outcomes_matter"":4,""ma_gut_feelings"":6,""ma_some_actions_wrong"":6,""ma_character_reflective"":1}","","[1,2,0,3,4]","moral_attitudes"
"","68114","survey-text","23","2.0.0","376794","p4732xl89nm","quick","immoral","goose","22","male","","","{""Q0"":""something about rating morality from people's actions. One condition with J and N sees if another person's action can affect how moral they are perceived. No issues. Spotted some punctuation errors""}","","",""
