"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1659","fullscreen","0","null","2667","pyu1onwsyps","slow","moral","lynx","22","male","","","","","",""
"","1072","html-keyboard-response","1","2.0.0","3743","pyu1onwsyps","slow","moral","lynx","22","male","","Welcome to the experiment. Press any key to begin.","a","","",""
"","3418","survey-text","2","2.0.0","7165","pyu1onwsyps","slow","moral","lynx","22","male","","","{""participant_id"":""lynx""}","","",""
"","17318","html-keyboard-response","3","2.0.0","24485","pyu1onwsyps","slow","moral","lynx","22","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","j","","",""
"","30909","html-button-response","4","2.0.0","55397","pyu1onwsyps","slow","moral","lynx","22","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","55859","html-button-response","5","2.0.0","111257","pyu1onwsyps","slow","moral","lynx","22","male","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","15888","survey-likert","6","2.0.0","127146","pyu1onwsyps","slow","moral","lynx","22","male","","","{""n_manipulation_check"":1,""j_manipulation_check"":6}","","[1,0]",""
"","19914","survey-likert","7","2.0.0","147063","pyu1onwsyps","slow","moral","lynx","22","male","","","{""j_principles_eval"":5,""n_principles_eval"":4}","","[0,1]","principles"
"","26641","survey-likert","8","2.0.0","173708","pyu1onwsyps","slow","moral","lynx","22","male","","","{""n_standards_eval"":5,""j_standards_eval"":4}","","[1,0]","standards"
"","47414","survey-likert","9","2.0.0","221124","pyu1onwsyps","slow","moral","lynx","22","male","","","{""n_deepness_eval"":0,""j_deepness_eval"":0}","","[1,0]","depth"
"","59914","survey-likert","10","2.0.0","281040","pyu1onwsyps","slow","moral","lynx","22","male","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":3}","","[0,1,2,3]","certainty"
"","37020","survey-likert","11","2.0.0","318063","pyu1onwsyps","slow","moral","lynx","22","male","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}","","[0,1,2,3]","certainty"
"","37213","survey-likert","12","2.0.0","355278","pyu1onwsyps","slow","moral","lynx","22","male","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":4}","","[0,1,2,3]","emotional_impulsivity"
"","12110","html-button-response","13","2.0.0","367390","pyu1onwsyps","slow","moral","lynx","22","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","16201","html-button-response","14","2.0.0","383592","pyu1onwsyps","slow","moral","lynx","22","male","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","13732","survey-likert","15","2.0.0","397327","pyu1onwsyps","slow","moral","lynx","22","male","","","{""b_principles_eval"":6}","","[0]","byst_principles"
"","5398","survey-likert","16","2.0.0","402727","pyu1onwsyps","slow","moral","lynx","22","male","","","{""b_standards_eval"":6}","","[0]","byst_standards"
"","16844","survey-likert","17","2.0.0","419573","pyu1onwsyps","slow","moral","lynx","22","male","","","{""b_deepness_eval"":1}","","[0]","byst_depth"
"","27148","survey-likert","18","2.0.0","446723","pyu1onwsyps","slow","moral","lynx","22","male","","","{""b_imp_upset_acted_without_thinking"":1,""b_imp_calm_contained_RS"":4}","","[1,0]","byst_emotional_impulsivity"
"","71302","survey-likert","19","2.0.0","518027","pyu1onwsyps","slow","moral","lynx","22","male","","","{""B_cert_far_from_alternative"":2,""B_cert_reservations_RS"":3,""B_cert_conflicted_RS"":2,""B_cert_quite_certain"":3}","","[3,1,0,2]","byst_certainty"
"","3547","survey-text","20","2.0.0","521577","pyu1onwsyps","slow","moral","lynx","22","male","","","{""participant_age"":""22""}","","",""
"","4159","survey-text","21","2.0.0","525740","pyu1onwsyps","slow","moral","lynx","22","male","","","{""gender"":""male""}","","",""
"","40999","survey-likert","22","2.0.0","566744","pyu1onwsyps","slow","moral","lynx","22","male","","","{""ma_some_actions_wrong"":0,""ma_character_reflective"":0,""ma_gut_feelings"":1,""ma_outcomes_matter"":0,""ma_think_through"":4}","","[3,4,0,2,1]","moral_attitudes"
"","50112","survey-text","23","2.0.0","616860","pyu1onwsyps","slow","moral","lynx","22","male","","","{""Q0"":""something about how we assume a persons morals and how long they took. & No""}","","",""
