"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","3224","fullscreen","0","null","4230","prg4cx8y2g1","quick","immoral","duck","21","male","","","","","",""
"","739","html-keyboard-response","1","2.0.0","4970","prg4cx8y2g1","quick","immoral","duck","21","male","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1743","survey-text","2","2.0.0","6731","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""participant_id"":""duck""}","","",""
"","6418","html-keyboard-response","3","2.0.0","13150","prg4cx8y2g1","quick","immoral","duck","21","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","26808","html-button-response","4","2.0.0","39960","prg4cx8y2g1","quick","immoral","duck","21","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","26585","html-button-response","5","2.0.0","66545","prg4cx8y2g1","quick","immoral","duck","21","male","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","16283","survey-likert","6","2.0.0","82831","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_manipulation_check"":6,""n_manipulation_check"":1}","","[0,1]",""
"","26713","survey-likert","7","2.0.0","109546","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_standards_eval"":1,""n_standards_eval"":1}","","[0,1]","standards"
"","17148","survey-likert","8","2.0.0","126696","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_principles_eval"":0,""n_principles_eval"":1}","","[0,1]","principles"
"","25865","survey-likert","9","2.0.0","152563","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_deepness_eval"":0,""n_deepness_eval"":1}","","[0,1]","depth"
"","34198","survey-likert","10","2.0.0","186764","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","81499","survey-likert","11","2.0.0","268266","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_cert_quite_certain"":3,""n_cert_quite_certain"":3,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","29729","survey-likert","12","2.0.0","297998","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""j_imp_calm_contained_RS"":3,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":3,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","8895","html-button-response","13","2.0.0","306895","prg4cx8y2g1","quick","immoral","duck","21","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","7253","html-button-response","14","2.0.0","314150","prg4cx8y2g1","quick","immoral","duck","21","male","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","5779","survey-likert","15","2.0.0","319930","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""b_principles_eval"":1}","","[0]","byst_principles"
"","7533","survey-likert","16","2.0.0","327464","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""b_standards_eval"":1}","","[0]","byst_standards"
"","5681","survey-likert","17","2.0.0","333147","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""b_deepness_eval"":1}","","[0]","byst_depth"
"","73413","survey-likert","18","2.0.0","406563","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""B_cert_reservations_RS"":2,""B_cert_far_from_alternative"":1,""B_cert_quite_certain"":3,""B_cert_conflicted_RS"":3}","","[1,3,2,0]","byst_certainty"
"","6630","survey-likert","19","2.0.0","413196","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""b_imp_upset_acted_without_thinking"":3,""b_imp_calm_contained_RS"":6}","","[1,0]","byst_emotional_impulsivity"
"","3264","survey-text","20","2.0.0","416464","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""participant_age"":""21""}","","",""
"","5512","survey-text","21","2.0.0","421981","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""gender"":""male""}","","",""
"","34965","survey-likert","22","2.0.0","456949","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""ma_character_reflective"":6,""ma_think_through"":6,""ma_gut_feelings"":5,""ma_outcomes_matter"":1,""ma_some_actions_wrong"":5}","","[4,1,0,2,3]","moral_attitudes"
"","14759","survey-text","23","2.0.0","471715","prg4cx8y2g1","quick","immoral","duck","21","male","","","{""Q0"":""about moral principles""}","","",""
