"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","2980","fullscreen","0","null","3986","p6sw3wsogg9","quick","moral","swan","22","female","","","","","",""
"","1151","html-keyboard-response","1","2.0.0","5139","p6sw3wsogg9","quick","moral","swan","22","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2161","survey-text","2","2.0.0","7305","p6sw3wsogg9","quick","moral","swan","22","female","","","{""participant_id"":""swan""}","","",""
"","3417","html-keyboard-response","3","2.0.0","10722","p6sw3wsogg9","quick","moral","swan","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","17475","html-button-response","4","2.0.0","28199","p6sw3wsogg9","quick","moral","swan","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","8279","html-button-response","5","2.0.0","36479","p6sw3wsogg9","quick","moral","swan","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","5926","survey-likert","6","2.0.0","42408","p6sw3wsogg9","quick","moral","swan","22","female","","","{""n_manipulation_check"":0,""j_manipulation_check"":6}","","[1,0]",""
"","7595","survey-likert","7","2.0.0","50004","p6sw3wsogg9","quick","moral","swan","22","female","","","{""j_principles_eval"":4,""n_principles_eval"":6}","","[0,1]","principles"
"","6486","survey-likert","8","2.0.0","56493","p6sw3wsogg9","quick","moral","swan","22","female","","","{""j_standards_eval"":4,""n_standards_eval"":6}","","[0,1]","standards"
"","14142","survey-likert","9","2.0.0","70638","p6sw3wsogg9","quick","moral","swan","22","female","","","{""n_deepness_eval"":1,""j_deepness_eval"":6}","","[1,0]","depth"
"","11506","survey-likert","10","2.0.0","82147","p6sw3wsogg9","quick","moral","swan","22","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","21013","survey-likert","11","2.0.0","103163","p6sw3wsogg9","quick","moral","swan","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":6,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","10026","survey-likert","12","2.0.0","113191","p6sw3wsogg9","quick","moral","swan","22","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":6,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","3807","html-button-response","13","2.0.0","117000","p6sw3wsogg9","quick","moral","swan","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3445","html-button-response","14","2.0.0","120445","p6sw3wsogg9","quick","moral","swan","22","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","5040","survey-likert","15","2.0.0","125487","p6sw3wsogg9","quick","moral","swan","22","female","","","{""b_principles_eval"":2}","","[0]","byst_principles"
"","4832","survey-likert","16","2.0.0","130321","p6sw3wsogg9","quick","moral","swan","22","female","","","{""b_standards_eval"":2}","","[0]","byst_standards"
"","9045","survey-likert","17","2.0.0","139367","p6sw3wsogg9","quick","moral","swan","22","female","","","{""b_deepness_eval"":0}","","[0]","byst_depth"
"","5705","survey-likert","18","2.0.0","145075","p6sw3wsogg9","quick","moral","swan","22","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":6}","","[1,0]","byst_emotional_impulsivity"
"","12757","survey-likert","19","2.0.0","157834","p6sw3wsogg9","quick","moral","swan","22","female","","","{""B_cert_reservations_RS"":1,""B_cert_far_from_alternative"":4,""B_cert_conflicted_RS"":1,""B_cert_quite_certain"":6}","","[1,3,0,2]","byst_certainty"
"","2257","survey-text","20","2.0.0","160092","p6sw3wsogg9","quick","moral","swan","22","female","","","{""participant_age"":""22""}","","",""
"","2898","survey-text","21","2.0.0","162993","p6sw3wsogg9","quick","moral","swan","22","female","","","{""gender"":""female""}","","",""
"","21384","survey-likert","22","2.0.0","184380","p6sw3wsogg9","quick","moral","swan","22","female","","","{""ma_gut_feelings"":5,""ma_some_actions_wrong"":6,""ma_think_through"":6,""ma_outcomes_matter"":4,""ma_character_reflective"":6}","","[0,3,1,2,4]","moral_attitudes"
"","16377","survey-text","23","2.0.0","200759","p6sw3wsogg9","quick","moral","swan","22","female","","","{""Q0"":""To see if taking more time to think about a moral decision was perceived as bad""}","","",""
