success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,bystander_condition,condition,participant,age,gender,inquiry,stimulus,response,item_type,question_order,block_type,file_name
NA,1672,survey-likert,17,2.0.0,78804,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_deepness_eval"":3}",NA,[0],byst_depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,4968,survey-likert,18,2.0.0,83775,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_imp_calm_contained_RS"":1,""b_imp_upset_acted_without_thinking"":4}",NA,"[0,1]",byst_emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,6663,survey-likert,19,2.0.0,90441,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":3,""B_cert_reservations_RS"":2}",NA,"[0,2,3,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,2591,survey-text,20,2.0.0,93036,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""participant_age"":""21""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,1943,survey-text,21,2.0.0,94982,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""gender"":""male""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,13941,survey-likert,22,2.0.0,108927,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}",NA,"[0,4,2,3,1]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,14895,survey-text,23,2.0.0,123825,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""Q0"":""affect of speed in perception of morality""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
TRUE,9703,fullscreen,0,null,10708,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,17340,html-keyboard-response,1,2.0.0,28051,p0sfjew6kvk,quick,immoral,pony,21,female,NA,Welcome to the experiment. Press any key to begin.,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,1844,survey-text,2,2.0.0,29909,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""participant_id"":""pony""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,5071,html-keyboard-response,3,2.0.0,34983,p0sfjew6kvk,quick,immoral,pony,21,female,NA,"
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
",NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,24572,html-button-response,4,2.0.0,59557,p0sfjew6kvk,quick,immoral,pony,21,female,NA,"<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,14645,html-button-response,5,2.0.0,74204,p0sfjew6kvk,quick,immoral,pony,21,female,NA,"<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>",0,immoral_stimulus_2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,7316,survey-likert,6,2.0.0,81522,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_manipulation_check"":6,""n_manipulation_check"":2}",NA,"[0,1]",NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,27314,survey-likert,7,2.0.0,108840,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_standards_eval"":0,""n_standards_eval"":1}",NA,"[0,1]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,8983,survey-likert,8,2.0.0,117825,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_principles_eval"":0,""n_principles_eval"":1}",NA,"[0,1]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,9952,survey-likert,9,2.0.0,127789,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_deepness_eval"":0,""n_deepness_eval"":1}",NA,"[0,1]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,12248,survey-likert,10,2.0.0,140050,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}",NA,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,22433,survey-likert,11,2.0.0,162494,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":3}",NA,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,12081,survey-likert,12,2.0.0,174588,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":1}",NA,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,4901,html-button-response,13,2.0.0,179499,p0sfjew6kvk,quick,immoral,pony,21,female,NA,"<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,5155,html-button-response,14,2.0.0,184656,p0sfjew6kvk,quick,immoral,pony,21,female,NA,<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>,0,byst_scenario_quick,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,4633,survey-likert,15,2.0.0,189291,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_principles_eval"":5}",NA,[0],byst_principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,3145,survey-likert,16,2.0.0,192438,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_standards_eval"":5}",NA,[0],byst_standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,2090,survey-likert,17,2.0.0,194530,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_deepness_eval"":5}",NA,[0],byst_depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,29401,survey-likert,18,2.0.0,223942,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":0}",NA,"[0,3,2,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,7517,survey-likert,19,2.0.0,231472,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":5}",NA,"[1,0]",byst_emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,3174,survey-text,20,2.0.0,234663,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""participant_age"":""21""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,3820,survey-text,21,2.0.0,238489,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""gender"":""female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,19452,survey-likert,22,2.0.0,257943,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""ma_think_through"":5,""ma_gut_feelings"":6,""ma_character_reflective"":5,""ma_some_actions_wrong"":4,""ma_outcomes_matter"":4}",NA,"[1,0,4,3,2]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
NA,5255,survey-text,23,2.0.0,263213,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""Q0"":""moral dilemmas""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv
TRUE,1786,fullscreen,0,null,2791,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,1308,html-keyboard-response,1,2.0.0,4099,p2956xcvuq2,quick,immoral,otter,21,female,NA,Welcome to the experiment. Press any key to begin.,n,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,1837,survey-text,2,2.0.0,5938,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""participant_id"":""otter""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,3248,html-keyboard-response,3,2.0.0,9187,p2956xcvuq2,quick,immoral,otter,21,female,NA,"
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
",m,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,20595,html-button-response,4,2.0.0,29783,p2956xcvuq2,quick,immoral,otter,21,female,NA,"<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,11454,html-button-response,5,2.0.0,41238,p2956xcvuq2,quick,immoral,otter,21,female,NA,"<p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>",0,immoral_stimulus_1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,11455,survey-likert,6,2.0.0,52694,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""n_manipulation_check"":6,""j_manipulation_check"":1}",NA,"[1,0]",NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,43976,survey-likert,7,2.0.0,96672,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""j_principles_eval"":1,""n_principles_eval"":2}",NA,"[0,1]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,16418,survey-likert,8,2.0.0,113090,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""j_standards_eval"":1,""n_standards_eval"":2}",NA,"[0,1]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,20935,survey-likert,9,2.0.0,134026,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""n_deepness_eval"":4,""j_deepness_eval"":2}",NA,"[1,0]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,19228,survey-likert,10,2.0.0,153256,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}",NA,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,13954,survey-likert,11,2.0.0,167212,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""j_cert_quite_certain"":6,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}",NA,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,13882,survey-likert,12,2.0.0,181094,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}",NA,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,5394,html-button-response,13,2.0.0,186489,p2956xcvuq2,quick,immoral,otter,21,female,NA,"<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,3749,html-button-response,14,2.0.0,190239,p2956xcvuq2,quick,immoral,otter,21,female,NA,<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>,0,byst_scenario_quick,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,7572,survey-likert,15,2.0.0,197811,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""b_principles_eval"":6}",NA,[0],byst_principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,10842,survey-likert,16,2.0.0,208654,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""b_standards_eval"":6}",NA,[0],byst_standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,5544,survey-likert,17,2.0.0,214199,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""b_deepness_eval"":5}",NA,[0],byst_depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,14755,survey-likert,18,2.0.0,228954,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""B_cert_quite_certain"":6,""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":0,""B_cert_reservations_RS"":0}",NA,"[2,0,3,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,5629,survey-likert,19,2.0.0,234584,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":6}",NA,"[1,0]",byst_emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,2455,survey-text,20,2.0.0,237040,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""participant_age"":""21""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,3726,survey-text,21,2.0.0,240768,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""gender"":""female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,37960,survey-likert,22,2.0.0,278729,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""ma_think_through"":6,""ma_outcomes_matter"":5,""ma_character_reflective"":4,""ma_gut_feelings"":4,""ma_some_actions_wrong"":2}",NA,"[1,2,4,0,3]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
NA,4984,survey-text,23,2.0.0,283714,p2956xcvuq2,quick,immoral,otter,21,female,NA,NA,"{""Q0"":""n/a""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2956xcvuq2_1772139916652.csv
TRUE,1570,fullscreen,0,null,2578,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
NA,1273,html-keyboard-response,1,2.0.0,3853,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,Welcome to the experiment. Press any key to begin.,k,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
NA,4267,survey-text,2,2.0.0,8124,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,NA,"{""participant_id"":""wallaby""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
NA,33321,html-keyboard-response,3,2.0.0,41446,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,"
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
",j,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
NA,43726,html-button-response,4,2.0.0,85173,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,"<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
NA,37715,html-button-response,5,2.0.0,122889,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,"<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>",0,immoral_stimulus_2,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
NA,41317,survey-likert,6,2.0.0,164207,p2pjbvjx0eq,slow,immoral,wallaby,22,female,NA,NA,"{""j_manipulation_check"":6,""n_manipulation_check"":0}",NA,"[0,1]",NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p2pjbvjx0eq_1772139864103.csv
