success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,bystander_condition,condition,participant,age,gender,inquiry,stimulus,response,item_type,question_order,block_type,file_name
TRUE,1405,fullscreen,0,null,2421,p06tycu8a34,slow,moral,whale,21,male,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,1291,html-keyboard-response,1,2.0.0,3713,p06tycu8a34,slow,moral,whale,21,male,NA,Welcome to the experiment. Press any key to begin.,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,1851,survey-text,2,2.0.0,5575,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""participant_id"":""whale""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,975,html-keyboard-response,3,2.0.0,6550,p06tycu8a34,slow,moral,whale,21,male,NA,"
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
",NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,3020,html-button-response,4,2.0.0,9572,p06tycu8a34,slow,moral,whale,21,male,NA,"<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,765,html-button-response,5,2.0.0,10338,p06tycu8a34,slow,moral,whale,21,male,NA,"<p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",0,moral_stimulus_1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,4684,survey-likert,6,2.0.0,15024,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_manipulation_check"":4,""n_manipulation_check"":2}",NA,"[0,1]",NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,9190,survey-likert,7,2.0.0,24216,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_principles_eval"":5,""j_principles_eval"":4}",NA,"[1,0]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,4190,survey-likert,8,2.0.0,28407,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_standards_eval"":1,""j_standards_eval"":2}",NA,"[1,0]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,4325,survey-likert,9,2.0.0,32733,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_deepness_eval"":5,""j_deepness_eval"":4}",NA,"[1,0]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,13973,survey-likert,10,2.0.0,46707,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}",NA,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,13149,survey-likert,11,2.0.0,59857,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}",NA,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,10398,survey-likert,12,2.0.0,70257,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":2,""n_imp_upset_acted_without_thinking"":3}",NA,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,1233,html-button-response,13,2.0.0,71491,p06tycu8a34,slow,moral,whale,21,male,NA,"<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>",0,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,638,html-button-response,14,2.0.0,72131,p06tycu8a34,slow,moral,whale,21,male,NA,"<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>",0,byst_scenario_slow,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,3191,survey-likert,15,2.0.0,75323,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_principles_eval"":4}",NA,[0],byst_principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
NA,1806,survey-likert,16,2.0.0,77130,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_standards_eval"":2}",NA,[0],byst_standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv
