rt,trial_type,trial_index,likert_eval_number,time_elapsed,random_id,bystander_condition,condition,participant_id,age,gender,inquiry,stimulus,response,item_type,question_order,block_type,file_name,likert_question,likert_response,participant_age,what_experiment_about,participant_is_group_member,question_agent,actor_condition
4684,survey-likert,6,1,15024,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_manipulation_check"":4,""n_manipulation_check"":2}",moral_stimulus_1,"[0,1]",manipulation_check,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_manipulation_check,4,21,affect of speed in perception of morality,TRUE,j,fast
4684,survey-likert,6,2,15024,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_manipulation_check"":4,""n_manipulation_check"":2}",moral_stimulus_1,"[0,1]",manipulation_check,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_manipulation_check,2,21,affect of speed in perception of morality,TRUE,n,slow
9190,survey-likert,7,3,24216,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_principles_eval"":5,""j_principles_eval"":4}",moral_stimulus_1,"[1,0]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_principles_eval,5,21,affect of speed in perception of morality,TRUE,n,slow
9190,survey-likert,7,4,24216,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_principles_eval"":5,""j_principles_eval"":4}",moral_stimulus_1,"[1,0]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_principles_eval,4,21,affect of speed in perception of morality,TRUE,j,fast
4190,survey-likert,8,5,28407,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_standards_eval"":1,""j_standards_eval"":2}",moral_stimulus_1,"[1,0]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_standards_eval,1,21,affect of speed in perception of morality,TRUE,n,slow
4190,survey-likert,8,6,28407,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_standards_eval"":1,""j_standards_eval"":2}",moral_stimulus_1,"[1,0]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_standards_eval,2,21,affect of speed in perception of morality,TRUE,j,fast
4325,survey-likert,9,7,32733,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_deepness_eval"":5,""j_deepness_eval"":4}",moral_stimulus_1,"[1,0]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_deepness_eval,5,21,affect of speed in perception of morality,TRUE,n,slow
4325,survey-likert,9,8,32733,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""n_deepness_eval"":5,""j_deepness_eval"":4}",moral_stimulus_1,"[1,0]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_deepness_eval,4,21,affect of speed in perception of morality,TRUE,j,fast
13973,survey-likert,10,9,46707,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_cert_conflicted_RS,1,21,affect of speed in perception of morality,TRUE,j,fast
13973,survey-likert,10,10,46707,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_cert_conflicted_RS,5,21,affect of speed in perception of morality,TRUE,n,slow
13973,survey-likert,10,11,46707,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_cert_reservations_RS,1,21,affect of speed in perception of morality,TRUE,j,fast
13973,survey-likert,10,12,46707,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_cert_reservations_RS,5,21,affect of speed in perception of morality,TRUE,n,slow
13149,survey-likert,11,13,59857,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_cert_quite_certain,5,21,affect of speed in perception of morality,TRUE,j,fast
13149,survey-likert,11,14,59857,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_cert_quite_certain,1,21,affect of speed in perception of morality,TRUE,n,slow
13149,survey-likert,11,15,59857,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_cert_far_from_alternative,5,21,affect of speed in perception of morality,TRUE,j,fast
13149,survey-likert,11,16,59857,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}",moral_stimulus_1,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_cert_far_from_alternative,1,21,affect of speed in perception of morality,TRUE,n,slow
10398,survey-likert,12,17,70257,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":2,""n_imp_upset_acted_without_thinking"":3}",moral_stimulus_1,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_imp_calm_contained_RS,4,21,affect of speed in perception of morality,TRUE,j,fast
10398,survey-likert,12,18,70257,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":2,""n_imp_upset_acted_without_thinking"":3}",moral_stimulus_1,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_imp_calm_contained_RS,3,21,affect of speed in perception of morality,TRUE,n,slow
10398,survey-likert,12,19,70257,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":2,""n_imp_upset_acted_without_thinking"":3}",moral_stimulus_1,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,j_imp_upset_acted_without_thinking,2,21,affect of speed in perception of morality,TRUE,j,fast
10398,survey-likert,12,20,70257,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":2,""n_imp_upset_acted_without_thinking"":3}",moral_stimulus_1,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,n_imp_upset_acted_without_thinking,3,21,affect of speed in perception of morality,TRUE,n,slow
3191,survey-likert,15,21,75323,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_principles_eval"":4}",byst_scenario_slow,[0],byst_principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,b_principles_eval,4,21,affect of speed in perception of morality,TRUE,b,bystander
1806,survey-likert,16,22,77130,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_standards_eval"":2}",byst_scenario_slow,[0],byst_standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,b_standards_eval,2,21,affect of speed in perception of morality,TRUE,b,bystander
1672,survey-likert,17,23,78804,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_deepness_eval"":3}",byst_scenario_slow,[0],byst_depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,b_deepness_eval,3,21,affect of speed in perception of morality,TRUE,b,bystander
4968,survey-likert,18,24,83775,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_imp_calm_contained_RS"":1,""b_imp_upset_acted_without_thinking"":4}",byst_scenario_slow,"[0,1]",byst_emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,b_imp_calm_contained_RS,1,21,affect of speed in perception of morality,TRUE,b,bystander
4968,survey-likert,18,25,83775,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""b_imp_calm_contained_RS"":1,""b_imp_upset_acted_without_thinking"":4}",byst_scenario_slow,"[0,1]",byst_emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,b_imp_upset_acted_without_thinking,4,21,affect of speed in perception of morality,TRUE,b,bystander
6663,survey-likert,19,26,90441,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":3,""B_cert_reservations_RS"":2}",byst_scenario_slow,"[0,2,3,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,B_cert_conflicted_RS,5,21,affect of speed in perception of morality,TRUE,b,bystander
6663,survey-likert,19,27,90441,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":3,""B_cert_reservations_RS"":2}",byst_scenario_slow,"[0,2,3,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,B_cert_quite_certain,4,21,affect of speed in perception of morality,TRUE,b,bystander
6663,survey-likert,19,28,90441,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":3,""B_cert_reservations_RS"":2}",byst_scenario_slow,"[0,2,3,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,B_cert_far_from_alternative,3,21,affect of speed in perception of morality,TRUE,b,bystander
6663,survey-likert,19,29,90441,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":3,""B_cert_reservations_RS"":2}",byst_scenario_slow,"[0,2,3,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,B_cert_reservations_RS,2,21,affect of speed in perception of morality,TRUE,b,bystander
13941,survey-likert,22,30,108927,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}",byst_scenario_slow,"[0,4,2,3,1]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,ma_gut_feelings,5,21,affect of speed in perception of morality,TRUE,NA,NA
13941,survey-likert,22,31,108927,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}",byst_scenario_slow,"[0,4,2,3,1]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,ma_character_reflective,5,21,affect of speed in perception of morality,TRUE,NA,NA
