rt,trial_type,trial_index,likert_eval_number,time_elapsed,random_id,bystander_condition,condition,participant_id,age,gender,inquiry,stimulus,response,item_type,question_order,block_type,file_name,likert_question,likert_response,participant_age,what_experiment_about,participant_is_group_member,question_agent,actor_condition
13941,survey-likert,22,32,108927,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}",byst_scenario_slow,"[0,4,2,3,1]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,ma_outcomes_matter,4,21,affect of speed in perception of morality,TRUE,NA,NA
13941,survey-likert,22,33,108927,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}",byst_scenario_slow,"[0,4,2,3,1]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,ma_some_actions_wrong,5,21,affect of speed in perception of morality,TRUE,NA,NA
13941,survey-likert,22,34,108927,p06tycu8a34,slow,moral,whale,21,male,NA,NA,"{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}",byst_scenario_slow,"[0,4,2,3,1]",moral_attitudes,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p06tycu8a34_1772524616873.csv,ma_think_through,5,21,affect of speed in perception of morality,TRUE,NA,NA
7316,survey-likert,6,1,81522,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_manipulation_check"":6,""n_manipulation_check"":2}",immoral_stimulus_2,"[0,1]",manipulation_check,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_manipulation_check,6,21,moral dilemmas,FALSE,j,fast
7316,survey-likert,6,2,81522,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_manipulation_check"":6,""n_manipulation_check"":2}",immoral_stimulus_2,"[0,1]",manipulation_check,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_manipulation_check,2,21,moral dilemmas,FALSE,n,slow
27314,survey-likert,7,3,108840,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_standards_eval"":0,""n_standards_eval"":1}",immoral_stimulus_2,"[0,1]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_standards_eval,1,21,moral dilemmas,FALSE,n,slow
27314,survey-likert,7,4,108840,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_standards_eval"":0,""n_standards_eval"":1}",immoral_stimulus_2,"[0,1]",standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_standards_eval,0,21,moral dilemmas,FALSE,j,fast
8983,survey-likert,8,5,117825,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_principles_eval"":0,""n_principles_eval"":1}",immoral_stimulus_2,"[0,1]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_principles_eval,1,21,moral dilemmas,FALSE,n,slow
8983,survey-likert,8,6,117825,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_principles_eval"":0,""n_principles_eval"":1}",immoral_stimulus_2,"[0,1]",principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_principles_eval,0,21,moral dilemmas,FALSE,j,fast
9952,survey-likert,9,7,127789,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_deepness_eval"":0,""n_deepness_eval"":1}",immoral_stimulus_2,"[0,1]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_deepness_eval,1,21,moral dilemmas,FALSE,n,slow
9952,survey-likert,9,8,127789,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_deepness_eval"":0,""n_deepness_eval"":1}",immoral_stimulus_2,"[0,1]",depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_deepness_eval,0,21,moral dilemmas,FALSE,j,fast
12248,survey-likert,10,9,140050,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_cert_conflicted_RS,0,21,moral dilemmas,FALSE,j,fast
12248,survey-likert,10,10,140050,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_cert_conflicted_RS,5,21,moral dilemmas,FALSE,n,slow
12248,survey-likert,10,11,140050,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_cert_reservations_RS,0,21,moral dilemmas,FALSE,j,fast
12248,survey-likert,10,12,140050,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_cert_reservations_RS,4,21,moral dilemmas,FALSE,n,slow
22433,survey-likert,11,13,162494,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":3}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_cert_quite_certain,6,21,moral dilemmas,FALSE,j,fast
22433,survey-likert,11,14,162494,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":3}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_cert_quite_certain,4,21,moral dilemmas,FALSE,n,slow
22433,survey-likert,11,15,162494,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":3}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_cert_far_from_alternative,5,21,moral dilemmas,FALSE,j,fast
22433,survey-likert,11,16,162494,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":3}",immoral_stimulus_2,"[0,1,2,3]",certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_cert_far_from_alternative,3,21,moral dilemmas,FALSE,n,slow
12081,survey-likert,12,17,174588,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":1}",immoral_stimulus_2,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_imp_calm_contained_RS,6,21,moral dilemmas,FALSE,j,fast
12081,survey-likert,12,18,174588,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":1}",immoral_stimulus_2,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_imp_calm_contained_RS,4,21,moral dilemmas,FALSE,n,slow
12081,survey-likert,12,19,174588,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":1}",immoral_stimulus_2,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,j_imp_upset_acted_without_thinking,1,21,moral dilemmas,FALSE,j,fast
12081,survey-likert,12,20,174588,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":1}",immoral_stimulus_2,"[0,1,2,3]",emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,n_imp_upset_acted_without_thinking,1,21,moral dilemmas,FALSE,n,slow
4633,survey-likert,15,21,189291,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_principles_eval"":5}",byst_scenario_quick,[0],byst_principles,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,b_principles_eval,5,21,moral dilemmas,FALSE,b,bystander
3145,survey-likert,16,22,192438,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_standards_eval"":5}",byst_scenario_quick,[0],byst_standards,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,b_standards_eval,5,21,moral dilemmas,FALSE,b,bystander
2090,survey-likert,17,23,194530,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_deepness_eval"":5}",byst_scenario_quick,[0],byst_depth,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,b_deepness_eval,5,21,moral dilemmas,FALSE,b,bystander
29401,survey-likert,18,24,223942,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":0}",byst_scenario_quick,"[0,3,2,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,B_cert_conflicted_RS,0,21,moral dilemmas,FALSE,b,bystander
29401,survey-likert,18,25,223942,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":0}",byst_scenario_quick,"[0,3,2,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,B_cert_quite_certain,4,21,moral dilemmas,FALSE,b,bystander
29401,survey-likert,18,26,223942,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":0}",byst_scenario_quick,"[0,3,2,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,B_cert_far_from_alternative,5,21,moral dilemmas,FALSE,b,bystander
29401,survey-likert,18,27,223942,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":0}",byst_scenario_quick,"[0,3,2,1]",byst_certainty,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,B_cert_reservations_RS,0,21,moral dilemmas,FALSE,b,bystander
7517,survey-likert,19,28,231472,p0sfjew6kvk,quick,immoral,pony,21,female,NA,NA,"{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":5}",byst_scenario_quick,"[1,0]",byst_emotional_impulsivity,/Users/martincz/GitHub/COGS119/group_wi26_moral_character/analysis/../data/raw_data/p0sfjew6kvk_1772139232472.csv,b_imp_calm_contained_RS,5,21,moral dilemmas,FALSE,b,bystander
